Число заявок,Дата договора,Тарифный план,Физ/Юр,Тип кл,Дата снятия
0,42191,ПП EIPTV Для б/впечат. (ХМФ)К,Физическое лицо,Единый договор,43836
0,43311,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43837
0,43663,DSL БИ 23гр(2) max Кр ХФ,Физическое лицо,ШПД Коммерческий,43826
2,43311,ДИнт+MVNO 1гр 100 Fttb Кр ХФ,Физическое лицо,Единый договор,43837
0,39477,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43825
0,43579,EIPTV Для впечатлений (ХМФ)К,Физическое лицо,Единый договор,43830
0,43442,EIPTV Для выгоды Кр (ХМФ),Физическое лицо,Единый договор,43830
0,42601,EIPTVБольшой Пакет(ХМФ)К,Физическое лицо,ШПД Коммерческий,43837
1,42601,БИнт 21гр 120 К ХФ,Физическое лицо,ШПД Коммерческий,43837
3,43783,ДНА 1.1гр 100 Кр ХФ,Физическое лицо,Единый договор,43837
2,43738,ДИнт в пак 1гр 150 Кр ХФ,Физическое лицо,Единый договор,43837
0,43543,БИ 35гр MAX Кр ХФ,Физическое лицо,Единый договор,43837
0,43543,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43837
0,43807,EIPTVОсн.пакеты каналов(ХМФ)К,Физическое лицо,Единый договор,43837
0,43807,УД Домовой 2016 120 Кр ХФ,Физическое лицо,Единый договор,43837
3,43750,ДИнт new 1гр 100 Кр ХФ,Физическое лицо,Единый договор,43837
8,42846,УД Домовой 2017 120 Кр ХФ,Физическое лицо,Единый договор,43837
0,43626,EIPTV Для впечатлений (ХМФ)К,Физическое лицо,Единый договор,43837
0,43731,ПП ДРВ+MVNO 120 1.1. гр. Кр ХФ,Физическое лицо,Единый договор,43837
0,43731,ПП EIPTV Д. развл.везде (ХМФ)К,Физическое лицо,Единый договор,43837
0,40892,DSL.НГ2019 max 23гр Кр ХФ,Физическое лицо,Единый договор,43830
0,41800,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43835
0,43287,EIPTV ТВ Легкий+КМ (ХМФ)К,Физическое лицо,Единый договор,43814
0,43287,КМ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43814
0,43731,EIPTV Для выгоды Кр (ХМФ),Физическое лицо,Единый договор,43802
0,41431,БИ 21гр 15 Кр ХФ,Физическое лицо,Единый договор,43838
0,43661,EIPTV Смелое решение-1(ХМФ)К,Физическое лицо,Единый договор,43838
0,43348,Суточный Г Кр ХФ,Физическое лицо,Единый договор,43838
0,43348,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43838
0,43422,УД ДИнт 1гр 100 Кр ХФ,Физическое лицо,Единый договор,43838
0,43422,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43838
0,41284,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43838
0,43400,УД ДИнт 1гр 100 Кр ХФ,Физическое лицо,Единый договор,43838
0,43588,EIPTV Для впечатл Акция (ХМФ)К,Физическое лицо,Единый договор,43838
4,42817,БИ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43838
1,42384,УД Домовой 2016 в пак 120 К ХФ,Физическое лицо,ШПД Коммерческий,43838
0,42712,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43838
0,43588,ДИнтА пак 1гр 120 Кр ХФ,Физическое лицо,Единый договор,43838
5,41753,УД ДИнт 1гр 100 Кр ХФ,Физическое лицо,ШПД Коммерческий,43838
0,41753,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43838
0,42817,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43838
0,41960,EIPTV Верная цена-2 (ХМФ)К,Физическое лицо,Единый договор,43830
0,42243,DSL БИ 23гр(2) max Кр ХФ,Физическое лицо,ШПД Коммерческий,43812
0,42243,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43812
3,43760,ДНА 1.1гр 100 Кр ХФ,Физическое лицо,Единый договор,43838
0,43460,EIPTV Для впечатлений (ХМФ)К,Физическое лицо,ШПД Коммерческий,43830
3,42039,ВЦ-3 50Мб/с ХФ1 Кр,Физическое лицо,Единый договор,43839
0,41398,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43838
0,41885,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43830
2,41466,Суточный new 8Мб/с Кр ХФ,Физическое лицо,ШПД Коммерческий,43839
0,40422,Городской Кредит ХМФ,Физическое лицо,Единый договор,43829
0,41680,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43829
0,43728,DSL БИ 23гр(2) max Кр ХФ,Физическое лицо,Единый договор,43828
0,39471,БИ 21гр 120 Кр ХФ,Физическое лицо,ШПД Коммерческий,43839
0,42713,Домовой 2016 90 Кр ХМФ FTTb,Физическое лицо,ШПД Коммерческий,43824
0,42690,EIPTV СОЦИАЛЬНЫЙ_IPTV (ХМФ)К,Физическое лицо,ШПД Коммерческий,43835
4,43182,УД ГК 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43839
0,43182,EIPTVТВЛегкий+Год кино* (ХМФ)К,Физическое лицо,Единый договор,43839
0,41338,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43839
0,43484,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43839
